# strain(%) 1_3(1-100)_density(m^-2) 1_3(1-210)_density(m^-2) 1_3(1-213)_density(m^-2) other_density(m^-2) total_density(m^-2)
19.950000 6.093263e+16 1.259932e+16 0.000000e+00 8.129288e+16 1.548248e+17
20.000000 5.632575e+16 1.167723e+16 0.000000e+00 8.948778e+16 1.574908e+17
22.500000 7.286130e+16 2.527038e+16 3.325380e+15 6.786617e+16 1.693232e+17
25.000000 7.295345e+16 3.094219e+16 0.000000e+00 1.007461e+17 2.046417e+17
27.500000 7.049940e+16 2.526911e+16 5.021623e+14 1.025568e+17 1.988275e+17
30.000000 6.895571e+16 1.556200e+16 1.026885e+15 9.113872e+16 1.766833e+17
32.500000 6.540514e+16 2.191944e+16 1.006261e+15 7.298038e+16 1.613112e+17
35.000000 6.488944e+16 1.483120e+16 0.000000e+00 6.421604e+16 1.439367e+17
37.500000 7.253935e+16 3.260483e+16 0.000000e+00 8.287427e+16 1.880184e+17
40.000000 7.454155e+16 1.696183e+16 0.000000e+00 9.527561e+16 1.867790e+17
