# strain(%) 1_3(1-100)_density(m^-2) 1_3(1-210)_density(m^-2) 1_3(1-213)_density(m^-2) other_density(m^-2) total_density(m^-2)
19.350000 4.536078e+16 1.155630e+16 1.625302e+15 7.318774e+16 1.317301e+17
19.400000 4.660832e+16 1.181906e+16 1.561214e+15 7.331794e+16 1.333065e+17
19.450000 4.718742e+16 1.173331e+16 1.638693e+15 7.400916e+16 1.345686e+17
19.500000 4.704988e+16 1.184816e+16 1.740255e+15 7.329777e+16 1.339361e+17
19.550000 4.719304e+16 1.231785e+16 1.597788e+15 7.528559e+16 1.363943e+17
19.600000 4.869872e+16 1.195434e+16 1.616397e+15 7.587777e+16 1.381472e+17
19.650000 4.820342e+16 1.216200e+16 1.589382e+15 7.577447e+16 1.377293e+17
19.700000 4.701191e+16 1.194761e+16 1.662964e+15 7.560496e+16 1.362274e+17
19.750000 4.782913e+16 1.212947e+16 1.682952e+15 7.435116e+16 1.359927e+17
19.800000 4.807736e+16 1.259111e+16 1.713091e+15 7.531244e+16 1.376940e+17
19.850000 4.821517e+16 1.251658e+16 1.663754e+15 7.694713e+16 1.393426e+17
19.900000 4.958679e+16 1.266078e+16 1.790993e+15 7.596282e+16 1.400014e+17
19.950000 4.787039e+16 1.285702e+16 1.860374e+15 7.491001e+16 1.374978e+17
20.000000 4.889055e+16 1.320939e+16 1.877837e+15 7.728557e+16 1.412633e+17
25.000000 6.091145e+16 2.229744e+16 1.709742e+15 8.812106e+16 1.730397e+17
30.000000 7.016081e+16 2.226664e+16 1.690992e+15 9.486676e+16 1.889852e+17
35.000000 6.797527e+16 2.387209e+16 1.724539e+15 1.014090e+17 1.949809e+17
40.000000 7.322292e+16 2.223714e+16 1.281351e+15 1.031343e+17 1.998757e+17
